,Year,Total,Code,Park
1692,2018,563420.0,MEVE,Mesa Verde National Park
1693,2017,613788.0,MEVE,Mesa Verde National Park
1694,2016,583527.0,MEVE,Mesa Verde National Park
1695,2015,547325.0,MEVE,Mesa Verde National Park
1696,2014,501563.0,MEVE,Mesa Verde National Park
1697,2013,460237.0,MEVE,Mesa Verde National Park
1698,2012,488860.0,MEVE,Mesa Verde National Park
1699,2011,572329.0,MEVE,Mesa Verde National Park
1700,2010,559712.0,MEVE,Mesa Verde National Park
1701,2009,550377.0,MEVE,Mesa Verde National Park
1702,2008,551446.0,MEVE,Mesa Verde National Park
1703,2007,541102.0,MEVE,Mesa Verde National Park
1704,2006,557248.0,MEVE,Mesa Verde National Park
1705,2005,498333.0,MEVE,Mesa Verde National Park
1706,2004,446811.0,MEVE,Mesa Verde National Park
1707,2003,438590.0,MEVE,Mesa Verde National Park
1708,2002,406385.0,MEVE,Mesa Verde National Park
1709,2001,513409.0,MEVE,Mesa Verde National Park
1710,2000,452287.0,MEVE,Mesa Verde National Park
1711,1999,635736.0,MEVE,Mesa Verde National Park
1712,1998,604556.0,MEVE,Mesa Verde National Park
1713,1997,627720.0,MEVE,Mesa Verde National Park
1714,1996,617360.0,MEVE,Mesa Verde National Park
1715,1995,663794.0,MEVE,Mesa Verde National Park
1716,1994,685031.0,MEVE,Mesa Verde National Park
1717,1993,666054.0,MEVE,Mesa Verde National Park
1718,1992,742080.0,MEVE,Mesa Verde National Park
1719,1991,678075.0,MEVE,Mesa Verde National Park
1720,1990,611375.0,MEVE,Mesa Verde National Park
1721,1989,600045.0,MEVE,Mesa Verde National Park
1722,1988,772183.0,MEVE,Mesa Verde National Park
1723,1987,728566.0,MEVE,Mesa Verde National Park
1724,1986,658888.0,MEVE,Mesa Verde National Park
1725,1985,656271.0,MEVE,Mesa Verde National Park
1726,1984,516865.0,MEVE,Mesa Verde National Park
1727,1983,604115.0,MEVE,Mesa Verde National Park
1728,1982,602968.0,MEVE,Mesa Verde National Park
1729,1981,588608.0,MEVE,Mesa Verde National Park
1730,1980,539257.0,MEVE,Mesa Verde National Park
1731,1979,473715.0,MEVE,Mesa Verde National Park
1732,2019,110280.0,VIIS,Virgin Islands National Park
1733,2018,112287.0,VIIS,Virgin Islands National Park
1734,2017,304408.0,VIIS,Virgin Islands National Park
1735,2016,411343.0,VIIS,Virgin Islands National Park
1736,2015,438372.0,VIIS,Virgin Islands National Park
1737,2014,426930.0,VIIS,Virgin Islands National Park
1738,2013,438601.0,VIIS,Virgin Islands National Park
1739,2012,483341.0,VIIS,Virgin Islands National Park
1740,2011,442414.0,VIIS,Virgin Islands National Park
1741,2010,493477.0,VIIS,Virgin Islands National Park
1742,2009,415847.0,VIIS,Virgin Islands National Park
1743,2008,469034.0,VIIS,Virgin Islands National Park
1744,2007,571382.0,VIIS,Virgin Islands National Park
1745,2006,677289.0,VIIS,Virgin Islands National Park
1746,2005,803040.0,VIIS,Virgin Islands National Park
1747,2004,793590.0,VIIS,Virgin Islands National Park
1748,2003,821681.0,VIIS,Virgin Islands National Park
1749,2002,693494.0,VIIS,Virgin Islands National Park
1750,2001,677401.0,VIIS,Virgin Islands National Park
1751,2000,703992.0,VIIS,Virgin Islands National Park
1752,1999,425345.0,VIIS,Virgin Islands National Park
1753,1998,556849.0,VIIS,Virgin Islands National Park
1754,1997,592537.0,VIIS,Virgin Islands National Park
1755,1996,475942.0,VIIS,Virgin Islands National Park
1756,1995,536058.0,VIIS,Virgin Islands National Park
1757,1994,635291.0,VIIS,Virgin Islands National Park
1758,1993,807093.0,VIIS,Virgin Islands National Park
1759,1992,772470.0,VIIS,Virgin Islands National Park
1760,1991,710180.0,VIIS,Virgin Islands National Park
1761,1990,664735.0,VIIS,Virgin Islands National Park
1762,1989,664032.0,VIIS,Virgin Islands National Park
1763,1988,838684.0,VIIS,Virgin Islands National Park
1764,1987,785354.0,VIIS,Virgin Islands National Park
1765,1986,766458.0,VIIS,Virgin Islands National Park
1766,1985,699398.0,VIIS,Virgin Islands National Park
1767,1984,666435.0,VIIS,Virgin Islands National Park
1768,1983,676800.0,VIIS,Virgin Islands National Park
1769,1982,673480.0,VIIS,Virgin Islands National Park
1770,1981,566528.0,VIIS,Virgin Islands National Park
1771,1980,547918.0,VIIS,Virgin Islands National Park
1772,1979,549732.0,VIIS,Virgin Islands National Park
1773,2019,1237110.0,HAVO,Hawai'i Volcanoes National Park
1774,2018,1116891.0,HAVO,Hawai'i Volcanoes National Park
1775,2017,2016702.0,HAVO,Hawai'i Volcanoes National Park
1776,2016,1887580.0,HAVO,Hawai'i Volcanoes National Park
1777,2015,1832660.0,HAVO,Hawai'i Volcanoes National Park
1778,2014,1693005.0,HAVO,Hawai'i Volcanoes National Park
1779,2013,1583209.0,HAVO,Hawai'i Volcanoes National Park
1780,2012,1483928.0,HAVO,Hawai'i Volcanoes National Park
1781,2011,1352123.0,HAVO,Hawai'i Volcanoes National Park
1782,2010,1304667.0,HAVO,Hawai'i Volcanoes National Park
1783,2009,1233105.0,HAVO,Hawai'i Volcanoes National Park
1784,2008,1270538.0,HAVO,Hawai'i Volcanoes National Park
1785,2007,1467779.0,HAVO,Hawai'i Volcanoes National Park
1786,2006,1612246.0,HAVO,Hawai'i Volcanoes National Park
1787,2005,1661196.0,HAVO,Hawai'i Volcanoes National Park
1788,2004,1307391.0,HAVO,Hawai'i Volcanoes National Park
1789,2003,1122524.0,HAVO,Hawai'i Volcanoes National Park
1790,2002,1110998.0,HAVO,Hawai'i Volcanoes National Park
1791,2001,1343286.0,HAVO,Hawai'i Volcanoes National Park
1792,2000,1514636.0,HAVO,Hawai'i Volcanoes National Park
1793,1999,1502855.0,HAVO,Hawai'i Volcanoes National Park
1794,1998,1352373.0,HAVO,Hawai'i Volcanoes National Park
1795,1997,1832087.0,HAVO,Hawai'i Volcanoes National Park
1796,1996,1231557.0,HAVO,Hawai'i Volcanoes National Park
1797,1995,1175028.0,HAVO,Hawai'i Volcanoes National Park
1798,1994,1174289.0,HAVO,Hawai'i Volcanoes National Park
1799,1993,1143741.0,HAVO,Hawai'i Volcanoes National Park
1800,1992,1151661.0,HAVO,Hawai'i Volcanoes National Park
1801,1991,1238653.0,HAVO,Hawai'i Volcanoes National Park
1802,1990,1096816.0,HAVO,Hawai'i Volcanoes National Park
1803,1989,1056188.0,HAVO,Hawai'i Volcanoes National Park
1804,1988,983007.0,HAVO,Hawai'i Volcanoes National Park
1805,1987,1006058.0,HAVO,Hawai'i Volcanoes National Park
1806,1986,898023.0,HAVO,Hawai'i Volcanoes National Park
1807,1985,816652.0,HAVO,Hawai'i Volcanoes National Park
1808,1984,2008608.0,HAVO,Hawai'i Volcanoes National Park
1809,1983,2247974.0,HAVO,Hawai'i Volcanoes National Park
1810,1982,1995397.0,HAVO,Hawai'i Volcanoes National Park
1811,1981,1931852.0,HAVO,Hawai'i Volcanoes National Park
1812,1980,1692338.0,HAVO,Hawai'i Volcanoes National Park
1813,1979,1632589.0,HAVO,Hawai'i Volcanoes National Park
1814,2019,88020.0,CUVA,Cuyahoga Valley National Park
1815,2018,2096053.0,CUVA,Cuyahoga Valley National Park
1816,2017,2226879.0,CUVA,Cuyahoga Valley National Park
1817,2016,2423390.0,CUVA,Cuyahoga Valley National Park
1818,2015,2284612.0,CUVA,Cuyahoga Valley National Park
1819,2014,2189849.0,CUVA,Cuyahoga Valley National Park
1820,2013,2103010.0,CUVA,Cuyahoga Valley National Park
1821,2012,2299722.0,CUVA,Cuyahoga Valley National Park
1822,2011,2161185.0,CUVA,Cuyahoga Valley National Park
1823,2010,2492670.0,CUVA,Cuyahoga Valley National Park
1824,2009,2589288.0,CUVA,Cuyahoga Valley National Park
1825,2008,2828233.0,CUVA,Cuyahoga Valley National Park
1826,2007,2486656.0,CUVA,Cuyahoga Valley National Park
1827,2006,2468816.0,CUVA,Cuyahoga Valley National Park
1828,2005,2533827.0,CUVA,Cuyahoga Valley National Park
1829,2004,3306175.0,CUVA,Cuyahoga Valley National Park
1830,2003,2879591.0,CUVA,Cuyahoga Valley National Park
1831,2002,3217935.0,CUVA,Cuyahoga Valley National Park
1832,2001,3123353.0,CUVA,Cuyahoga Valley National Park
1833,2000,3324918.0,CUVA,Cuyahoga Valley National Park
1834,1999,3324284.0,CUVA,Cuyahoga Valley National Park
1835,1998,3467107.0,CUVA,Cuyahoga Valley National Park
1836,1997,3527837.0,CUVA,Cuyahoga Valley National Park
1837,1996,3455878.0,CUVA,Cuyahoga Valley National Park
1838,1995,3195207.0,CUVA,Cuyahoga Valley National Park
1839,1994,3266401.0,CUVA,Cuyahoga Valley National Park
1840,1993,2266139.0,CUVA,Cuyahoga Valley National Park
1841,1992,1430382.0,CUVA,Cuyahoga Valley National Park
1842,1991,1358984.0,CUVA,Cuyahoga Valley National Park
1843,1990,1200622.0,CUVA,Cuyahoga Valley National Park
1844,1989,1159648.0,CUVA,Cuyahoga Valley National Park
1845,1988,1229717.0,CUVA,Cuyahoga Valley National Park
1846,1987,1113405.0,CUVA,Cuyahoga Valley National Park
1847,1986,1042148.0,CUVA,Cuyahoga Valley National Park
1848,1985,1004858.0,CUVA,Cuyahoga Valley National Park
1849,1984,1018828.0,CUVA,Cuyahoga Valley National Park
1850,1983,939562.0,CUVA,Cuyahoga Valley National Park
1851,1982,717815.0,CUVA,Cuyahoga Valley National Park
1852,1981,596300.0,CUVA,Cuyahoga Valley National Park
1853,1980,563300.0,CUVA,Cuyahoga Valley National Park
1854,1979,543025.0,CUVA,Cuyahoga Valley National Park
1855,2019,78765.0,WRST,Wrangell-St. Elias National Park
1856,2018,79450.0,WRST,Wrangell-St. Elias National Park
1857,2017,68292.0,WRST,Wrangell-St. Elias National Park
1858,2016,79047.0,WRST,Wrangell-St. Elias National Park
1859,2015,80366.0,WRST,Wrangell-St. Elias National Park
1860,2014,74722.0,WRST,Wrangell-St. Elias National Park
1861,2013,69984.0,WRST,Wrangell-St. Elias National Park
1862,2012,87158.0,WRST,Wrangell-St. Elias National Park
1863,2011,65225.0,WRST,Wrangell-St. Elias National Park
1864,2010,73170.0,WRST,Wrangell-St. Elias National Park
1865,2009,59966.0,WRST,Wrangell-St. Elias National Park
1866,2008,65693.0,WRST,Wrangell-St. Elias National Park
1867,2007,61085.0,WRST,Wrangell-St. Elias National Park
1868,2006,50336.0,WRST,Wrangell-St. Elias National Park
1869,2005,56224.0,WRST,Wrangell-St. Elias National Park
1870,2004,57221.0,WRST,Wrangell-St. Elias National Park
1871,2003,43311.0,WRST,Wrangell-St. Elias National Park
1872,2002,40352.0,WRST,Wrangell-St. Elias National Park
1873,2001,28643.0,WRST,Wrangell-St. Elias National Park
1874,2000,28331.0,WRST,Wrangell-St. Elias National Park
1875,1999,29252.0,WRST,Wrangell-St. Elias National Park
1876,1998,27859.0,WRST,Wrangell-St. Elias National Park
1877,1997,31833.0,WRST,Wrangell-St. Elias National Park
1878,1996,31467.0,WRST,Wrangell-St. Elias National Park
1879,1995,54430.0,WRST,Wrangell-St. Elias National Park
1880,1994,50146.0,WRST,Wrangell-St. Elias National Park
1881,1993,45335.0,WRST,Wrangell-St. Elias National Park
1882,1992,42229.0,WRST,Wrangell-St. Elias National Park
1883,1991,38971.0,WRST,Wrangell-St. Elias National Park
1884,1990,35976.0,WRST,Wrangell-St. Elias National Park
1885,1989,33221.0,WRST,Wrangell-St. Elias National Park
1886,1988,31046.0,WRST,Wrangell-St. Elias National Park
1887,1987,29191.0,WRST,Wrangell-St. Elias National Park
1888,1986,26557.0,WRST,Wrangell-St. Elias National Park
1889,1985,23171.0,WRST,Wrangell-St. Elias National Park
1890,1984,22183.0,WRST,Wrangell-St. Elias National Park
1891,1983,18760.0,WRST,Wrangell-St. Elias National Park
1892,1982,14871.0,WRST,Wrangell-St. Elias National Park
1893,2019,669723.0,GLBA,Glacier Bay National Park
1894,2018,597915.0,GLBA,Glacier Bay National Park
1895,2017,547057.0,GLBA,Glacier Bay National Park
1896,2016,520171.0,GLBA,Glacier Bay National Park
1897,2015,551353.0,GLBA,Glacier Bay National Park
1898,2014,500727.0,GLBA,Glacier Bay National Park
1899,2013,500590.0,GLBA,Glacier Bay National Park
1900,2012,454337.0,GLBA,Glacier Bay National Park
1901,2011,431986.0,GLBA,Glacier Bay National Park
1902,2010,444530.0,GLBA,Glacier Bay National Park
1903,2009,438361.0,GLBA,Glacier Bay National Park
1904,2008,418911.0,GLBA,Glacier Bay National Park
1905,2007,438211.0,GLBA,Glacier Bay National Park
1906,2006,413382.0,GLBA,Glacier Bay National Park
1907,2005,359829.0,GLBA,Glacier Bay National Park
1908,2004,353686.0,GLBA,Glacier Bay National Park
1909,2003,366319.0,GLBA,Glacier Bay National Park
1910,2002,408143.0,GLBA,Glacier Bay National Park
1911,2001,380114.0,GLBA,Glacier Bay National Park
1912,2000,384684.0,GLBA,Glacier Bay National Park
1913,1999,442607.0,GLBA,Glacier Bay National Park
1914,1998,403512.0,GLBA,Glacier Bay National Park
1915,1997,347046.0,GLBA,Glacier Bay National Park
1916,1996,304374.0,GLBA,Glacier Bay National Park
1917,1995,252265.0,GLBA,Glacier Bay National Park
1918,1994,250614.0,GLBA,Glacier Bay National Park
1919,1993,242276.0,GLBA,Glacier Bay National Park
1920,1992,211424.0,GLBA,Glacier Bay National Park
1921,1991,203653.0,GLBA,Glacier Bay National Park
1922,1990,186427.0,GLBA,Glacier Bay National Park
1923,1989,150270.0,GLBA,Glacier Bay National Park
1924,1988,148756.0,GLBA,Glacier Bay National Park
1925,1987,130926.0,GLBA,Glacier Bay National Park
1926,1986,136877.0,GLBA,Glacier Bay National Park
1927,1985,130943.0,GLBA,Glacier Bay National Park
1928,1984,108297.0,GLBA,Glacier Bay National Park
1929,1983,92057.0,GLBA,Glacier Bay National Park
1930,1982,90354.0,GLBA,Glacier Bay National Park
1931,1981,85071.0,GLBA,Glacier Bay National Park
1932,1980,95005.0,GLBA,Glacier Bay National Park
1933,1979,91032.0,GLBA,Glacier Bay National Park
1934,2019,37818.0,KATM,Katmai National Park
1935,2018,37818.0,KATM,Katmai National Park
1936,2017,37818.0,KATM,Katmai National Park
1937,2016,37818.0,KATM,Katmai National Park
1938,2015,37818.0,KATM,Katmai National Park
1939,2014,30896.0,KATM,Katmai National Park
1940,2013,28966.0,KATM,Katmai National Park
1941,2012,39818.0,KATM,Katmai National Park
1942,2011,48939.0,KATM,Katmai National Park
1943,2010,55172.0,KATM,Katmai National Park
1944,2009,43035.0,KATM,Katmai National Park
1945,2008,7970.0,KATM,Katmai National Park
1946,2007,82634.0,KATM,Katmai National Park
1947,2006,68630.0,KATM,Katmai National Park
1948,2005,54274.0,KATM,Katmai National Park
1949,2004,56787.0,KATM,Katmai National Park
1950,2003,51589.0,KATM,Katmai National Park
1951,2002,59025.0,KATM,Katmai National Park
1952,2001,67038.0,KATM,Katmai National Park
1953,2000,71389.0,KATM,Katmai National Park
1954,1999,51399.0,KATM,Katmai National Park
1955,1998,45470.0,KATM,Katmai National Park
1956,1997,18802.0,KATM,Katmai National Park
1957,1995,0.0,KATM,Katmai National Park
1958,1994,55728.0,KATM,Katmai National Park
1959,1993,53421.0,KATM,Katmai National Park
1960,1992,46196.0,KATM,Katmai National Park
1961,1991,41417.0,KATM,Katmai National Park
1962,1990,40778.0,KATM,Katmai National Park
1963,1989,40247.0,KATM,Katmai National Park
1964,1988,45710.0,KATM,Katmai National Park
1965,1987,38212.0,KATM,Katmai National Park
1966,1986,41663.0,KATM,Katmai National Park
1967,1985,25142.0,KATM,Katmai National Park
1968,1984,20074.0,KATM,Katmai National Park
1969,1983,11182.0,KATM,Katmai National Park
1970,1982,14377.0,KATM,Katmai National Park
1971,1981,13115.0,KATM,Katmai National Park
1972,1980,11824.0,KATM,Katmai National Park
1973,1979,10659.0,KATM,Katmai National Park
1974,2019,356578.0,KEFJ,Kenai Fjords National Park
1975,2018,321596.0,KEFJ,Kenai Fjords National Park
1976,2017,303598.0,KEFJ,Kenai Fjords National Park
1977,2016,346534.0,KEFJ,Kenai Fjords National Park
1978,2015,296697.0,KEFJ,Kenai Fjords National Park
1979,2014,270666.0,KEFJ,Kenai Fjords National Park
1980,2013,283502.0,KEFJ,Kenai Fjords National Park
1981,2012,281279.0,KEFJ,Kenai Fjords National Park
1982,2011,346852.0,KEFJ,Kenai Fjords National Park
1983,2010,297596.0,KEFJ,Kenai Fjords National Park
1984,2009,218358.0,KEFJ,Kenai Fjords National Park
1985,2008,272190.0,KEFJ,Kenai Fjords National Park
1986,2007,284604.0,KEFJ,Kenai Fjords National Park
1987,2006,251630.0,KEFJ,Kenai Fjords National Park
1988,2005,258297.0,KEFJ,Kenai Fjords National Park
1989,2004,244232.0,KEFJ,Kenai Fjords National Park
1990,2003,243719.0,KEFJ,Kenai Fjords National Park
1991,2002,251799.0,KEFJ,Kenai Fjords National Park
1992,2001,262353.0,KEFJ,Kenai Fjords National Park
1993,2000,254790.0,KEFJ,Kenai Fjords National Park
1994,1999,290673.0,KEFJ,Kenai Fjords National Park
1995,1998,263948.0,KEFJ,Kenai Fjords National Park
1996,1997,306164.0,KEFJ,Kenai Fjords National Park
1997,1996,274034.0,KEFJ,Kenai Fjords National Park
1998,1995,230657.0,KEFJ,Kenai Fjords National Park
1999,1994,209516.0,KEFJ,Kenai Fjords National Park
2000,1993,189712.0,KEFJ,Kenai Fjords National Park
2001,1992,108130.0,KEFJ,Kenai Fjords National Park
2002,1991,107041.0,KEFJ,Kenai Fjords National Park
2003,1990,66115.0,KEFJ,Kenai Fjords National Park
2004,1989,75557.0,KEFJ,Kenai Fjords National Park
2005,1988,59017.0,KEFJ,Kenai Fjords National Park
2006,1987,60428.0,KEFJ,Kenai Fjords National Park
2007,1986,54296.0,KEFJ,Kenai Fjords National Park
2008,1985,35758.0,KEFJ,Kenai Fjords National Park
2009,1984,30703.0,KEFJ,Kenai Fjords National Park
2010,1983,24048.0,KEFJ,Kenai Fjords National Park
2011,1982,16118.0,KEFJ,Kenai Fjords National Park
2012,2019,10483.0,GAAR,Gates of the Arctic National Park
2013,2018,9591.0,GAAR,Gates of the Arctic National Park
2014,2017,11177.0,GAAR,Gates of the Arctic National Park
2015,2016,10047.0,GAAR,Gates of the Arctic National Park
2016,2015,10745.0,GAAR,Gates of the Arctic National Park
2017,2014,12669.0,GAAR,Gates of the Arctic National Park
2018,2013,11012.0,GAAR,Gates of the Arctic National Park
2019,2012,10899.0,GAAR,Gates of the Arctic National Park
2020,2011,11623.0,GAAR,Gates of the Arctic National Park
2021,2010,10840.0,GAAR,Gates of the Arctic National Park
2022,2009,9975.0,GAAR,Gates of the Arctic National Park
2023,2008,11397.0,GAAR,Gates of the Arctic National Park
2024,2007,10942.0,GAAR,Gates of the Arctic National Park
2025,2006,9982.0,GAAR,Gates of the Arctic National Park
2026,2005,9459.0,GAAR,Gates of the Arctic National Park
2027,2004,10282.0,GAAR,Gates of the Arctic National Park
2028,2003,5075.0,GAAR,Gates of the Arctic National Park
2029,2002,6648.0,GAAR,Gates of the Arctic National Park
2030,2001,4505.0,GAAR,Gates of the Arctic National Park
2031,2000,11278.0,GAAR,Gates of the Arctic National Park
2032,1999,8166.0,GAAR,Gates of the Arctic National Park
2033,1998,8266.0,GAAR,Gates of the Arctic National Park
2034,1997,6949.0,GAAR,Gates of the Arctic National Park
2035,1996,6448.0,GAAR,Gates of the Arctic National Park
2036,1995,7074.0,GAAR,Gates of the Arctic National Park
2037,1994,1726.0,GAAR,Gates of the Arctic National Park
2038,1993,2245.0,GAAR,Gates of the Arctic National Park
2039,1992,2116.0,GAAR,Gates of the Arctic National Park
2040,1991,1154.0,GAAR,Gates of the Arctic National Park
2041,1990,1010.0,GAAR,Gates of the Arctic National Park
2042,1989,822.0,GAAR,Gates of the Arctic National Park
2043,1988,1258.0,GAAR,Gates of the Arctic National Park
2044,1987,1060.0,GAAR,Gates of the Arctic National Park
2045,1986,2801.0,GAAR,Gates of the Arctic National Park
2046,1985,1381.0,GAAR,Gates of the Arctic National Park
2047,1984,2440.0,GAAR,Gates of the Arctic National Park
2048,1983,2138.0,GAAR,Gates of the Arctic National Park
2049,1982,1381.0,GAAR,Gates of the Arctic National Park
2050,2019,592519.0,DENA,Denali National Park
2051,2018,594660.0,DENA,Denali National Park
2052,2017,642809.0,DENA,Denali National Park
2053,2016,587412.0,DENA,Denali National Park
2054,2015,560757.0,DENA,Denali National Park
2055,2014,531315.0,DENA,Denali National Park
2056,2013,530922.0,DENA,Denali National Park
2057,2012,388433.0,DENA,Denali National Park
2058,2011,406582.0,DENA,Denali National Park
2059,2010,378855.0,DENA,Denali National Park
2060,2009,358041.0,DENA,Denali National Park
2061,2008,432309.0,DENA,Denali National Park
2062,2007,458308.0,DENA,Denali National Park
2063,2006,415935.0,DENA,Denali National Park
2064,2005,403520.0,DENA,Denali National Park
2065,2004,404236.0,DENA,Denali National Park
2066,2003,360189.0,DENA,Denali National Park
2067,2002,311335.0,DENA,Denali National Park
2068,2001,360191.0,DENA,Denali National Park
2069,2000,363983.0,DENA,Denali National Park
2070,1999,386867.0,DENA,Denali National Park
2071,1998,372519.0,DENA,Denali National Park
2072,1997,354278.0,DENA,Denali National Park
2073,1996,341385.0,DENA,Denali National Park
2074,1995,543309.0,DENA,Denali National Park
2075,1994,490311.0,DENA,Denali National Park
2076,1993,505565.0,DENA,Denali National Park
2077,1992,503674.0,DENA,Denali National Park
2078,1991,558870.0,DENA,Denali National Park
2079,1990,546693.0,DENA,Denali National Park
2080,1989,543640.0,DENA,Denali National Park
2081,1988,592431.0,DENA,Denali National Park
2082,1987,575013.0,DENA,Denali National Park
2083,1986,529749.0,DENA,Denali National Park
2084,1985,436545.0,DENA,Denali National Park
2085,1984,395099.0,DENA,Denali National Park
2086,1983,346082.0,DENA,Denali National Park
2087,1982,321868.0,DENA,Denali National Park
2088,1981,256593.0,DENA,Denali National Park
2089,1980,216361.0,DENA,Denali National Park
2090,1979,251105.0,DENA,Denali National Park
2091,2019,14155.0,KOVA,Kobuk Valley National Park
2092,2018,14937.0,KOVA,Kobuk Valley National Park
2093,2017,15500.0,KOVA,Kobuk Valley National Park
2094,2016,15500.0,KOVA,Kobuk Valley National Park
2095,2015,0.0,KOVA,Kobuk Valley National Park
2096,2014,0.0,KOVA,Kobuk Valley National Park
2097,2013,16875.0,KOVA,Kobuk Valley National Park
2098,2012,29550.0,KOVA,Kobuk Valley National Park
2099,2011,11485.0,KOVA,Kobuk Valley National Park
2100,2010,3164.0,KOVA,Kobuk Valley National Park
2101,2009,1879.0,KOVA,Kobuk Valley National Park
2102,2008,1565.0,KOVA,Kobuk Valley National Park
2103,2007,847.0,KOVA,Kobuk Valley National Park
2104,2006,3005.0,KOVA,Kobuk Valley National Park
2105,2005,5037.0,KOVA,Kobuk Valley National Park
2106,2004,4744.0,KOVA,Kobuk Valley National Park
2107,2003,4006.0,KOVA,Kobuk Valley National Park
2108,2002,4046.0,KOVA,Kobuk Valley National Park
2109,2001,4217.0,KOVA,Kobuk Valley National Park
2110,2000,2646.0,KOVA,Kobuk Valley National Park
2111,1999,6309.0,KOVA,Kobuk Valley National Park
2112,1998,5550.0,KOVA,Kobuk Valley National Park
2113,1997,2781.0,KOVA,Kobuk Valley National Park
2114,1996,2781.0,KOVA,Kobuk Valley National Park
2115,1995,2781.0,KOVA,Kobuk Valley National Park
2116,1994,2781.0,KOVA,Kobuk Valley National Park
2117,1993,2816.0,KOVA,Kobuk Valley National Park
2118,1992,2829.0,KOVA,Kobuk Valley National Park
2119,1991,2795.0,KOVA,Kobuk Valley National Park
2120,1990,2586.0,KOVA,Kobuk Valley National Park
2121,1989,1970.0,KOVA,Kobuk Valley National Park
2122,1988,2275.0,KOVA,Kobuk Valley National Park
2123,1987,230.0,KOVA,Kobuk Valley National Park
2124,1986,1085.0,KOVA,Kobuk Valley National Park
2125,1985,1305.0,KOVA,Kobuk Valley National Park
2126,1984,1075.0,KOVA,Kobuk Valley National Park
2127,1983,2365.0,KOVA,Kobuk Valley National Park
2128,1982,3775.0,KOVA,Kobuk Valley National Park
2129,2018,14479.0,LACL,Lake Clark National Park
2130,2017,22755.0,LACL,Lake Clark National Park
2131,2016,21102.0,LACL,Lake Clark National Park
2132,2015,17818.0,LACL,Lake Clark National Park
2133,2014,16100.0,LACL,Lake Clark National Park
2134,2013,13000.0,LACL,Lake Clark National Park
2135,2012,11639.0,LACL,Lake Clark National Park
2136,2011,5158.0,LACL,Lake Clark National Park
2137,2010,9931.0,LACL,Lake Clark National Park
2138,2009,9711.0,LACL,Lake Clark National Park
2139,2008,6802.0,LACL,Lake Clark National Park
2140,2007,5549.0,LACL,Lake Clark National Park
2141,2006,5320.0,LACL,Lake Clark National Park
2142,2005,5408.0,LACL,Lake Clark National Park
2143,2004,4906.0,LACL,Lake Clark National Park
2144,2003,4505.0,LACL,Lake Clark National Park
2145,2002,4325.0,LACL,Lake Clark National Park
2146,2001,4397.0,LACL,Lake Clark National Park
2147,2000,6493.0,LACL,Lake Clark National Park
2148,1999,6190.0,LACL,Lake Clark National Park
2149,1998,11335.0,LACL,Lake Clark National Park
2150,1997,9173.0,LACL,Lake Clark National Park
2151,1996,12727.0,LACL,Lake Clark National Park
2152,1995,12698.0,LACL,Lake Clark National Park
2153,1994,12143.0,LACL,Lake Clark National Park
2154,1993,12153.0,LACL,Lake Clark National Park
2155,1992,9233.0,LACL,Lake Clark National Park
2156,1991,4133.0,LACL,Lake Clark National Park
2157,1990,10196.0,LACL,Lake Clark National Park
2158,1989,14879.0,LACL,Lake Clark National Park
2159,1988,18863.0,LACL,Lake Clark National Park
2160,1987,16418.0,LACL,Lake Clark National Park
2161,1986,13611.0,LACL,Lake Clark National Park
2162,1985,12701.0,LACL,Lake Clark National Park
2163,1984,12505.0,LACL,Lake Clark National Park
2164,1983,12332.0,LACL,Lake Clark National Park
2165,1982,10440.0,LACL,Lake Clark National Park
2166,2019,4557003.0,ROMO,Rocky Mountain National Park
2167,2018,4590493.0,ROMO,Rocky Mountain National Park
2168,2017,4437215.0,ROMO,Rocky Mountain National Park
2169,2016,4517585.0,ROMO,Rocky Mountain National Park
2170,2015,4155916.0,ROMO,Rocky Mountain National Park
2171,2014,3434751.0,ROMO,Rocky Mountain National Park
2172,2013,2991141.0,ROMO,Rocky Mountain National Park
2173,2012,3229617.0,ROMO,Rocky Mountain National Park
2174,2011,3176941.0,ROMO,Rocky Mountain National Park
2175,2010,2955821.0,ROMO,Rocky Mountain National Park
2176,2009,2822325.0,ROMO,Rocky Mountain National Park
2177,2008,2757390.0,ROMO,Rocky Mountain National Park
2178,2007,2895383.0,ROMO,Rocky Mountain National Park
2179,2006,2743676.0,ROMO,Rocky Mountain National Park
2180,2005,2798368.0,ROMO,Rocky Mountain National Park
2181,2004,2781899.0,ROMO,Rocky Mountain National Park
2182,2003,3067256.0,ROMO,Rocky Mountain National Park
2183,2002,2988475.0,ROMO,Rocky Mountain National Park
2184,2001,3139685.0,ROMO,Rocky Mountain National Park
2185,2000,3185392.0,ROMO,Rocky Mountain National Park
2186,1999,3186323.0,ROMO,Rocky Mountain National Park
2187,1998,3035422.0,ROMO,Rocky Mountain National Park
2188,1997,2965354.0,ROMO,Rocky Mountain National Park
2189,1996,2923755.0,ROMO,Rocky Mountain National Park
2190,1995,2878169.0,ROMO,Rocky Mountain National Park
2191,1994,2968450.0,ROMO,Rocky Mountain National Park
2192,1993,2780342.0,ROMO,Rocky Mountain National Park
2193,1992,2788868.0,ROMO,Rocky Mountain National Park
2194,1991,2751781.0,ROMO,Rocky Mountain National Park
2195,1990,2647323.0,ROMO,Rocky Mountain National Park
2196,1989,2502915.0,ROMO,Rocky Mountain National Park
2197,1988,2544211.0,ROMO,Rocky Mountain National Park
